node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Croatia_loc_weight	Germany_loc_weight
1	EPI_ISL_402125|2019-12-26	24	0.0127384	NA	NA	2019-12-26	EPI_ISL_402125	Wuhan/Hu-1/2019	2019-12-26	Asia	China	Hubei	China	19A	B	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA
2	EPI_ISL_516572|2020-08-04	28	0	NA	NA	2020-08-04	EPI_ISL_516572	Switzerland/ZH-ETHZ-230031/2020	2020-08-04	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
3	EPI_ISL_516594|2020-08-05	28	0.00273973	NA	NA	2020-08-05	EPI_ISL_516594	Switzerland/ZH-ETHZ-230058/2020	2020-08-05	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
4	EPI_ISL_516595|2020-08-05	28	0.00273973	NA	NA	2020-08-05	EPI_ISL_516595	Switzerland/ZH-ETHZ-230059/2020	2020-08-05	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
5	EPI_ISL_603281|2020-09-30	29	0.046029	NA	NA	2020-09-30	EPI_ISL_603281	Switzerland/GR-ETHZ-300249/2020	2020-09-30	Europe	Switzerland	Graubünden	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
6	EPI_ISL_603331|2020-09-25	29	0.0323304	NA	NA	2020-09-25	EPI_ISL_603331	Switzerland/ZH-ETHZ-300299/2020	2020-09-25	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
7	EPI_ISL_603352|2020-09-25	29	0.0323304	NA	NA	2020-09-25	EPI_ISL_603352	Switzerland/ZH-ETHZ-300320/2020	2020-09-25	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
8	EPI_ISL_603293|2020-10-01	29	0.0487687	NA	NA	2020-10-01	EPI_ISL_603293	Switzerland/ZH-ETHZ-300261/2020	2020-10-01	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
9	EPI_ISL_603409|2020-09-30	29	0.046029	NA	NA	2020-09-30	EPI_ISL_603409	Switzerland/ZH-ETHZ-300459/2020	2020-09-30	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
10	EPI_ISL_830737|2020-09-17	30	0.00380514	NA	NA	2020-09-17	EPI_ISL_830737	Switzerland/AG-42445382/2020	2020-09-17	Europe	Switzerland	Aargau	Switzerland	20B	B.1.1.39	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
11	EPI_ISL_830811|2020-09-17	30	0.00380514	NA	NA	2020-09-17	EPI_ISL_830811	Switzerland/BS-42445392/2020	2020-09-17	Europe	Switzerland	Basel-Stadt	Switzerland	20B	B.1.1.39	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
12	EPI_ISL_523891|2020-08-12	27	0.053127	NA	NA	2020-08-12	EPI_ISL_523891	Switzerland/BL-ETHZ-240050/2020	2020-08-12	Europe	Switzerland	Basel-Land	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
13	EPI_ISL_539429|2020-08-26	27	0.0914832	NA	NA	2020-08-26	EPI_ISL_539429	Switzerland/ZH-ETHZ-260122/2020	2020-08-26	Europe	Switzerland	Zürich	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
14	EPI_ISL_535628|2020-08-14	26	0.125647	NA	NA	2020-08-14	EPI_ISL_535628	Switzerland/BE-ETHZ-250120/2020	2020-08-14	Europe	Switzerland	Bern	Switzerland	20B	B.1.1.39	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.1.39	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA
15	EPI_ISL_531788|2020-08-10	25	0.19867	NA	NA	2020-08-10	EPI_ISL_531788	Scotland/QEUH-961FE9/2020	2020-08-10	Europe	United Kingdom	Scotland	United Kingdom	20B	B.1.1.39	NHSGGC West of Scotland Specialist Virology Centre / MRC-University of Glasgow Centre for Virus Research	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Ana da Silva Filipe et al	B.1.1.39	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA
